bakim_carpani,t,O2_lb,glc_lb,h2o_cap,durum,buyume
1.0,0.0,-0.5,-0.05,1.0,infeasible,
1.0,0.02,-0.69,-0.089,1.58,infeasible,
1.0,0.04,-0.88,-0.128,2.16,infeasible,
1.0,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
1.0,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
1.0,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
1.0,0.12,-1.64,-0.284,4.48,infeasible,
1.0,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
1.0,0.16,-2.02,-0.362,5.64,infeasible,
1.0,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
1.0,0.2,-2.4000000000000004,-0.44,6.800000000000001,infeasible,
1.0,0.22,-2.59,-0.479,7.38,infeasible,
1.0,0.24,-2.78,-0.518,7.96,infeasible,
1.0,0.26,-2.97,-0.557,8.54,infeasible,
1.0,0.28,-3.16,-0.5960000000000001,9.120000000000001,infeasible,
1.0,0.3,-3.35,-0.635,9.7,infeasible,
1.0,0.32,-3.54,-0.674,10.28,infeasible,
1.0,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,infeasible,
1.0,0.36,-3.92,-0.752,11.44,infeasible,
1.0,0.38,-4.109999999999999,-0.791,12.02,infeasible,
1.0,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,optimal,0.0038033594847771855
1.0,0.42,-4.49,-0.869,13.18,optimal,0.0066158243165736754
1.0,0.44,-4.68,-0.908,13.76,optimal,0.009426851399198032
1.0,0.46,-4.87,-0.9470000000000001,14.34,optimal,0.012237878481822298
1.0,0.48,-5.06,-0.986,14.92,optimal,0.015048905564446456
1.0,0.5,-5.25,-1.025,15.5,optimal,0.017859932647070666
1.0,0.52,-5.44,-1.064,16.08,optimal,0.020670959729694786
1.0,0.54,-5.630000000000001,-1.103,16.66,optimal,0.02348198681231912
1.0,0.56,-5.82,-1.1420000000000001,17.240000000000002,optimal,0.026293013894943287
1.0,0.58,-6.01,-1.181,17.82,optimal,0.029104040977567518
1.0,0.6,-6.2,-1.22,18.4,optimal,0.03191506806019154
1.0,0.62,-6.39,-1.2590000000000001,18.98,optimal,0.034726095142815674
1.0,0.64,-6.58,-1.298,19.56,optimal,0.037537122225440006
1.0,0.66,-6.7700000000000005,-1.337,20.14,optimal,0.04034814930806424
1.0,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,optimal,0.043159176390688545
1.0,0.7,-7.1499999999999995,-1.415,21.299999999999997,optimal,0.04597020347331269
1.0,0.72,-7.34,-1.454,21.88,optimal,0.04878123055593695
1.0,0.74,-7.53,-1.493,22.46,optimal,0.05159225763856107
1.0,0.76,-7.72,-1.532,23.04,optimal,0.05440328472118525
1.0,0.78,-7.91,-1.571,23.62,optimal,0.05721431180380954
1.0,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.06002533888643374
1.0,0.82,-8.29,-1.649,24.779999999999998,optimal,0.06283636596905799
1.0,0.84,-8.48,-1.688,25.36,optimal,0.06564739305168239
1.0,0.86,-8.67,-1.727,25.94,optimal,0.06845842013430657
1.0,0.88,-8.86,-1.766,26.52,optimal,0.07126944721693068
1.0,0.9,-9.05,-1.805,27.1,optimal,0.0740804742995549
1.0,0.92,-9.24,-1.844,27.68,optimal,0.07689150138217896
1.0,0.94,-9.43,-1.883,28.259999999999998,optimal,0.07970252846480323
1.0,0.96,-9.62,-1.922,28.84,optimal,0.08251355554742748
1.0,0.98,-9.81,-1.961,29.419999999999998,optimal,0.08532458263005174
1.0,1.0,-10.0,-2.0,30.0,optimal,0.08813560971267596
1.5,0.0,-0.5,-0.05,1.0,infeasible,
1.5,0.02,-0.69,-0.089,1.58,infeasible,
1.5,0.04,-0.88,-0.128,2.16,infeasible,
1.5,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
